Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
2,10,4,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,238
2,10,4,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,100
2,10,4,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,117
2,10,4,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,116
2,10,4,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,154
2,10,4,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,121
2,10,4,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,65
2,10,4,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,100
2,10,4,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,74
2,10,4,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,62
2,10,6,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,650
2,10,6,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,178
2,10,6,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,173
2,10,6,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,168
2,10,6,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,261
2,10,6,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,195
2,10,6,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,97
2,10,6,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,170
2,10,6,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,110
2,10,6,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,92
2,10,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,50
2,10,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,85
2,10,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,192
2,10,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,210
2,10,6,19,5,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,84
2,10,6,19,5,2,15,0.217,0.027,0.34,6,5.5,8.823908741,83
2,10,6,19,5,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,121
2,10,6,19,5,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,321
2,10,6,19,5,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,387
2,6,6,19,3,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,41
2,6,6,19,3,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,72
2,6,6,19,3,0.815,20,0.066,0.029,0.36,5,1,9,175
2,6,6,19,3,0.949,18.11,0.127,0.05,0.36,5,1.5,9,185
2,6,6,19,3,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,66
2,6,6,19,3,2,15,0.217,0.027,0.34,6,5.5,8.823908741,65
2,6,6,19,3,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,93
2,6,6,19,3,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,271
2,6,6,19,3,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,247
2,6,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,53
2,6,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,92
2,6,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,224
2,6,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,234
