Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
2,10,6,19,5,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,50
2,10,6,19,5,2,15,0.217,0.027,0.34,6,5.5,8.823908741,50
2,10,6,19,5,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,81
2,10,6,19,5,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,204
2,10,6,19,5,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,254
2,6,6,19,3,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,27
2,6,6,19,3,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,46
2,6,6,19,3,0.815,20,0.066,0.029,0.36,5,1,9,117
2,6,6,19,3,0.949,18.11,0.127,0.05,0.36,5,1.5,9,103
2,6,6,19,3,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,40
2,6,6,19,3,2,15,0.217,0.027,0.34,6,5.5,8.823908741,40
2,6,6,19,3,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,69
2,6,6,19,3,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,178
2,6,6,19,3,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,166
2,6,6,19,5,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,37
2,6,6,19,5,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,62
2,6,6,19,5,0.815,20,0.066,0.029,0.36,5,1,9,161
2,6,6,19,5,0.949,18.11,0.127,0.05,0.36,5,1.5,9,150
